criterion_number,criterion_title,conformance_level,disability_classes,pillar,ada_title_iii,section_508,eaa_article,eaa_annex,psbar_uk,equality_act_uk,rpwd_india_section,agimo_australia,aoda_canada,cvaa_usa,notes
1.1.1,Non-text Content,A,"visual,auditory,at_parsing",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Covers all non-text content including images, controls, time-based media, CAPTCHA, and decorative items
1.2.1,Audio-only and Video-only (Prerecorded),A,"auditory,visual",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Prerecorded audio-only and prerecorded video-only media must have alternatives
1.2.2,Captions (Prerecorded),A,auditory,Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,TRUE,Captions for prerecorded audio in synchronised media; CVAA directly mandates captions for online video
1.2.3,Audio Description or Media Alternative (Prerecorded),A,"visual,auditory",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Alternative for time-based media or audio description of prerecorded video
1.2.4,Captions (Live),AA,auditory,Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,TRUE,Captions for live audio in synchronised media; CVAA directly applies to live content
1.2.5,Audio Description (Prerecorded),AA,"visual,auditory",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Audio description for prerecorded video in synchronised media
1.2.6,Sign Language (Prerecorded),AAA,auditory,Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; not legally required in most jurisdictions but best practice for deaf users
1.2.7,Extended Audio Description (Prerecorded),AAA,"visual,auditory",Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; extended audio description where pauses are insufficient
1.2.8,Media Alternative (Prerecorded),AAA,"visual,auditory",Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; text alternative for prerecorded synchronised media
1.2.9,Audio-only (Live),AAA,auditory,Perceivable,FALSE,FALSE,4,I,FALSE,20,46,FALSE,FALSE,FALSE,AAA only; text alternative for live audio-only content
1.3.1,Info and Relationships,A,"visual,at_parsing,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Information and structure must be programmatically determinable; covers tables, lists, headings, forms
1.3.2,Meaningful Sequence,A,"visual,at_parsing,cognitive",Perceivable,TRUE,TRUE,4,I,TRUE,20,46,TRUE,TRUE,FALSE,Reading and navigation order must be programmatically determinable when it affects meaning
